التخصص: الهندسة والتكنولوجيا - )قبول غير مباشر(, معدل القبول: ,83 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: الهندسة المعمارية, معدل القبول: ,88 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: الهندسة المدنية, معدل القبول: ,80 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: الهندسة البيئية, معدل القبول: ,80 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: هندسة التخطيط والتصميم الحضري, معدل القبول: ,80 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: الهندسة الكهربائية, معدل القبول: ,80 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: هندسة الميكانيكية, معدل القبول: ,80 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: هندسة الميكاترونيكس, معدل القبول: ,82 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: هندسة الحاسوب, معدل القبول: ,91 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: علم الحاسوب, معدل القبول: ,82 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: أمن المعلومات, معدل القبول: ,80 الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: دكتور صيدلي, معدل القبول: ,88 الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: الصيدلة, معدل القبول: ,85 الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: عالج النطق والسمع, معدل القبول: ,86 الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: العلوم الطبية المخبرية, معدل القبول: ,80 الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: التغذية والحمية, معدل القبول: ,78 الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: التمريض, معدل القبول: ,78 الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: األعمال واالقتصاد- )قبول غير مباشر(, معدل القبول: ,76 الكلية: كلية التجارة

التخصص: المحاسبة, معدل القبول: ,87 الكلية: كلية التجارة

التخصص: إدارة األعمال, معدل القبول: ,83 الكلية: كلية التجارة

التخصص: العلوم المالية والمصرفية, معدل القبول: ,78 الكلية: كلية التجارة

التخصص: العلوم المالية واالكتوارية, معدل القبول: ,71 الكلية: كلية التجارة

التخصص: التسويق, معدل القبول: ,73 الكلية: كلية التجارة

التخصص: االقتصاد, معدل القبول: ,68 الكلية: كلية التجارة

التخصص: اقتصاد األعمال, معدل القبول: ,70 الكلية: كلية التجارة

التخصص: علوم االدلة الجنائية, معدل القبول: ,70 الكلية: العلوم

التخصص: األحياء, معدل القبول: ,70 الكلية: العلوم

التخصص: الكيمياء / فرعي ادارة االعمال, معدل القبول: ,70 الكلية: العلوم

التخصص: االحياء/ فرعي ادارة االعمال, معدل القبول: ,70 الكلية: العلوم

التخصص: االحياء/ فرعي الكيمياء الحيوية, معدل القبول: ,70 الكلية: العلوم

التخصص: الفيزياء, معدل القبول: ,70 الكلية : العلوم

التخصص: الفيزياء / فرعي الرياضيات, معدل القبول: ,70 الكلية: العلوم

التخصص: الفيزياء / فرعي علم الحاسوب, معدل القبول: ,70 الكلية: العلوم

التخصص: الفيزياء / فرعي اإللكترونيات, معدل القبول: ,70 الكلية: العلوم

التخصص: الكيمياء, معدل القبول: ,70 الكلية: العلوم

التخصص: الكيمياء / فرعي الكيمياء الصناعية, معدل القبول: ,70 الكلية: العلوم

التخصص: الكيمياء / فرعي التسويق, معدل القبول: ,70 الكلية: العلوم

التخصص: الرياضيات , معدل القبول: ,70 الكلية: العلوم

التخصص: الرياضيات / فرعي االقتصاد, معدل القبول: ,70 الكلية: العلوم

التخصص: الرياضيات / فرعي علم الحاسوب, معدل القبول: ,70 الكلية: العلوم

التخصص: الرياضيات / فرعي العلوم المالية والمصرفية, معدل القبول: ,70 الكلية: العلوم
