
التخصص: الهندسة والتكنولوجيا - (قبول غير مباشر), معدل القبول: 83, الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: الهندسة المعمارية, معدل القبول: 88, الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: الهندسة المدنية, معدل القبول: 80, الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: الهندسة البيئية, معدل القبول: 80, الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: هندسة التخطيط والتصميم الحضري, معدل القبول: 80, الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: الهندسة الكهربائية, معدل القبول: 80, الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: هندسة الميكانيكية, معدل القبول: 80, الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: هندسة الميكاترونيكس, معدل القبول: 82, الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: هندسة الحاسوب, معدل القبول: 91, الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: علم الحاسوب, معدل القبول: 82, الكلية: كلية الهندسة وتكنولوجيا المعلومات

التخصص: أمن المعلومات, معدل القبول: 80, الكلية: كلية الهندسة وتكنولوجيا المعلومات




التخصص: دكتور صيدلي, معدل القبول: 88, الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: الصيدلة, معدل القبول: 85, الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: علاج النطق والسمع, معدل القبول: 86, الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: العلوم الطبية المخبرية, معدل القبول: 80, الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: التغذية والحمية, معدل القبول: 78, الكلية: الصيدلة والتمريض والمهن الصحية

التخصص: التمريض, معدل القبول: 78, الكلية: الصيدلة والتمريض والمهن الصحية




التخصص: الأعمال والاقتصاد- (قبول غير مباشر), معدل القبول: 76, الكلية: كلية التجارة

التخصص: المحاسبة, معدل القبول: 87, الكلية: كلية التجارة

التخصص: إدارة الأعمال, معدل القبول: 83, الكلية: كلية التجارة

التخصص: العلوم المالية والمصرفية, معدل القبول: 78, الكلية: كلية التجارة

التخصص: العلوم المالية والاكتوارية, معدل القبول: 71, الكلية: كلية التجارة

التخصص: التسويق, معدل القبول: 73, الكلية: كلية التجارة

التخصص: الاقتصاد, معدل القبول: 68, الكلية: كلية التجارة

التخصص: اقتصاد الأعمال, معدل القبول: 70, الكلية: كلية التجارة



التخصص: علوم الادلة الجنائية, معدل القبول: 70, الكلية: العلوم

التخصص: الأحياء, معدل القبول: 70, الكلية: العلوم

التخصص: الكيمياء / فرعي ادارة الاعمال, معدل القبول: 70, الكلية: العلوم

التخصص: الاحياء/ فرعي ادارة الاعمال, معدل القبول: 70, الكلية: العلوم

التخصص: الاحياء/ فرعي الكيمياء الحيوية, معدل القبول: 70, الكلية: العلوم

التخصص: الفيزياء, معدل القبول: 70, الكلية: العلوم

التخصص: الفيزياء / فرعي الرياضيات, معدل القبول: 70, الكلية: العلوم

التخصص: الفيزياء / فرعي علم الحاسوب, معدل القبول: 70, الكلية: العلوم

التخصص: الفيزياء / فرعي الإلكترونيات, معدل القبول: 70, الكلية: العلوم

التخصص: الكيمياء, معدل القبول: 70, الكلية: العلوم

التخصص: الكيمياء / فرعي الكيمياء الصناعية, معدل القبول: 70, الكلية: العلوم

التخصص: الكيمياء / فرعي التسويق, معدل القبول: 70, الكلية: العلوم

التخصص: الرياضيات , معدل القبول: 70, الكلية: العلوم

التخصص: الرياضيات / فرعي الاقتصاد, معدل القبول: 70, الكلية: العلوم

التخصص: الرياضيات / فرعي علم الحاسوب, معدل القبول: 70, الكلية: العلوم

التخصص: الرياضيات / فرعي العلوم المالية والمصرفية, معدل القبول: 70, الكلية: العلوم




التخصص: اللغة العربية وآدابها, معدل القبول: 67, الكلية: كلية الآداب

التخصص: اللغة الإنجليزية وآدابها, معدل القبول: 80 وامتحان قدرات, الكلية: كلية الآداب

التخصص: اللغة الإنجليزية وآدابها / فرعي الترجمة, معدل القبول: 86 وامتحان قدرات, الكلية: كلية الآداب

التخصص: الإعلام, معدل القبول: 70, الكلية: كلية الآداب

التخصص: الاتصال الاستراتيجي, معدل القبول: 70, الكلية: كلية الآداب

التخصص: اللغة الفرنسية, معدل القبول: 68, الكلية: كلية الآداب

التخصص: اللغة الألمانية, معدل القبول: 66, الكلية: كلية الآداب

التخصص: برامج التاريخ والآثار, معدل القبول: 65, الكلية: كلية الآداب

التخصص: الجيوانفورماتكس, معدل القبول: 70, الكلية: كلية الآداب

التخصص: علم الاجتماع / فرعي علم النفس, معدل القبول: 65, الكلية: كلية الآداب

التخصص: علم الاجتماع / فرعي الإدارة العامة, معدل القبول: 66, الكلية: كلية الآداب

التخصص: علم الاجتماع / فرعي علم الاجتماع, معدل القبول: 70, الكلية: كلية الآداب

التخصص: علم النفس / فرعي دراسات مرأة, معدل القبول: 65, الكلية: كلية الآداب




