"اسم المساق : البرمجة الشيئية

",رمز المساق : COMP2310,"المتطلب السابق : COMP132  أو COMP230

COMP133 أو COMP142

"
"اسم المساق : بنية المعلومات والخوارزميات

",رمز المساق : COMP2421,المتطلب السابق : COMP230 أو COMP132 أو COMP133 أو COMP142
"اسم المساق :إدارة قواعد البيانات

",رمز المساق : COMP333,المتطلب السابق : COMP2321 أو COMP242 أو  COMP2421 أو متزامن
"اسم المساق : الهندسة البرمجية

",رمز المساق : COMP433,المتطلب السابق : COMP3330 أو COMP333
"اسم المساق : مختبر الإلكترونيات الرقمية وتنظيم الحاسوب

",رمز المساق : ENCS2110,المتطلب السابق : ENCS336 أو ENCS3341 أو ENCS238 أو ENCS2380 أو ENCS2308  أو ENCS432 أو متزامن
"اسم المساق : أنظمة رقمية

",رمز المساق : ENCS2340,المتطلب السابق : COMP132 أو COMP142 أو  COMP230 أو COMP133
"اسم المساق : تنظيم الحاسوب والمعالج الدقيق

",رمز المساق : ENCS2380,المتطلب السابق : ENCS234 أوENCS2340
اسم المساق : مختبر لينوكس,رمز المساق : ENCS3130,"المتطلب السابق : COMP132 أو COMP230

COMP133أو COMP142

"
"اسم المساق : تصميم الأنظمة الرقمية المتقدمة

",رمز المساق : ENCS3310,المتطلب السابق : ENCS238  أو ENCS2380
اسم المساق : شبكات الحاسوب,رمز المساق : ENCS3320,المتطلب السابق : COMP133  أو COMP230  ومستوى سنة ثالثة
"اسم المساق : الدوائر الرقمية المتكاملة
",رمز المساق : ENCS3330,المتطلب السابق : ENCS234 أوENCS2340 ، ENEE2360  أو ENEE2360
"اسم المساق : الذكاء الاصطناعي
","رمز المساق : ENCS3340
",المتطلب السابق : (COMP230 أو COMP142 أو COMP133)، COMP233
اسم المساق : نظم التشغيل,رمز المساق : ENCS3390,المتطلب السابق : ENCS336 أو ENCS238 أو ENCS2380 أو ENCS2308
اسم المساق : مختبر تطبيقات الحاسوب,رمز المساق : ENCS4110,"المتطلب السابق : ENCS338) أو ENCS2380 أو (ENCS2308 ،ENCS211) أو (ENCS2110
"
اسم المساق : مختبر شبكات الحاسوب,رمز المساق : ENCS4130,المتطلب السابق : ENCS436 أو ENCS3320 أو ENCS433
اسم المساق : أخلاقيات هندسة الحاسوب,رمز المساق : ENCS4210,المتطلب السابق : مستوى سنة رابعة
اسم المساق : تدريب عملي,رمز المساق : ENCS4300,المتطلب السابق : مستوى سنة رابعة وموافقة الدائرة
اسم المساق : معالجة الإشارات الرقمية,رمز المساق : ENCS4310,"المتطلب السابق : ENEE2312 وMATH234

"
اسم المساق : التشفير التطبيقي,رمز المساق : ENCS4320,المتطلب السابق : COMP133،  COMP233
"اسم المساق : تطبيقات الزمن الحقيقي والأنظمة المقحمة

","رمز المساق : ENCS4330

","المتطلب السابق : ENCS313 أو  ENCS3130 ، ENCS339  أو ENCS3390

"
"اسم المساق : عمارة الحاسبات

",رمز المساق : ENCS4370,"المتطلب السابق : ENCS238 أو ENCS336 أو ENCS2380 أو ENCS2308

"
"اسم المساق :أساليب المواءمة

",رمز المساق : ENCS4380,"المتطلب السابق : ENCS338 أو ENCS2380 ، ENEE2360  أو ENEE23600

"
"اسم المساق : مختبر نظم الزمن وأساليب المواءمة  الحقيقي

","رمز المساق : ENCS5140

","المتطلب السابق : ENCS531 أو ENCS4330

"
"اسم المساق : مختبر متقدم في هندسة انظمة الحاسوب

","رمز المساق : ENCS5150

","المتطلب السابق : انهاء 115 ساعة معتمدة

وموافقة الدائرة

"
"اسم المساق : مقدمة مشروع التخرج

","رمز المساق : ENCS5200

","المتطلب السابق : انهاء 115 ساعة معتمدة

وموافقة الدائرة

"
